                                   | Core 0    
  Instructions                     |   99999880
  Cycles                           |  149677948
  IPC                              |       0.67
  Time (ns)                        |   49892649
Branch predictor stats             |           
  num correct                      |    7976092
  num incorrect                    |     656868
  misprediction rate               |      7.61%
  mpki                             |       6.57
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8296535
    num misses                     |         42
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   27674767
    num misses                     |     135586
    miss rate                      |      0.49%
    mpki                           |       1.36
  L2 TLB                           |           
    num accesses                   |     135628
    num misses                     |      42576
    miss rate                      |     31.39%
    mpki                           |       0.43
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8296535
    num cache misses               |      46262
    miss rate                      |      0.56%
    mpki                           |       0.46
  Cache L1-D                       |           
    num cache accesses             |   27674767
    num cache misses               |    1670816
    miss rate                      |      6.04%
    mpki                           |      16.71
  Cache L2                         |           
    num cache accesses             |    1737665
    num cache misses               |    1567839
    miss rate                      |     90.23%
    mpki                           |      15.68
  Cache L3                         |           
    num cache accesses             |    1588995
    num cache misses               |    1439765
    miss rate                      |     90.61%
    mpki                           |      14.40
DRAM summary                       |           
  num dram accesses                |    2863146
  average dram access latency (ns) |      51.53
  average dram queueing delay      |       1.53
Coherency Traffic                  |           
  num loads from dram              |    1314488
  num loads from dram cache        |          0
  num loads from remote cache      |          0
