                                   | Core 0    
  Instructions                     |   99999963
  Cycles                           |  178574101
  IPC                              |       0.56
  Time (ns)                        |   59524700
Branch predictor stats             |           
  num correct                      |    1857190
  num incorrect                    |    2836699
  misprediction rate               |     60.43%
  mpki                             |      28.37
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   11404106
    num misses                     |         13
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   36830610
    num misses                     |     221522
    miss rate                      |      0.60%
    mpki                           |       2.22
  L2 TLB                           |           
    num accesses                   |     221535
    num misses                     |     221534
    miss rate                      |    100.00%
    mpki                           |       2.22
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   11404106
    num cache misses               |      31434
    miss rate                      |      0.28%
    mpki                           |       0.31
  Cache L1-D                       |           
    num cache accesses             |   36830610
    num cache misses               |    2898666
    miss rate                      |      7.87%
    mpki                           |      28.99
  Cache L2                         |           
    num cache accesses             |    3410412
    num cache misses               |    2930100
    miss rate                      |     85.92%
    mpki                           |      29.30
  Cache L3                         |           
    num cache accesses             |    3410412
    num cache misses               |    2926057
    miss rate                      |     85.80%
    mpki                           |      29.26
DRAM summary                       |           
  num dram accesses                |    5835730
  average dram access latency (ns) |      51.61
  average dram queueing delay      |       1.60
Coherency Traffic                  |           
  num loads from dram              |    2099822
  num loads from dram cache        |          0
  num loads from remote cache      |          0
