                                   | Core 0    
  Instructions                     |   99999910
  Cycles                           |  157063364
  IPC                              |       0.64
  Time (ns)                        |   52354455
Branch predictor stats             |           
  num correct                      |    4412429
  num incorrect                    |      77840
  misprediction rate               |      1.73%
  mpki                             |       0.78
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |    8826080
    num misses                     |         57
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   38104623
    num misses                     |      39050
    miss rate                      |      0.10%
    mpki                           |       0.39
  L2 TLB                           |           
    num accesses                   |      39107
    num misses                     |      30500
    miss rate                      |     77.99%
    mpki                           |       0.31
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |    8826080
    num cache misses               |      90559
    miss rate                      |      1.03%
    mpki                           |       0.91
  Cache L1-D                       |           
    num cache accesses             |   38104623
    num cache misses               |    2610502
    miss rate                      |      6.85%
    mpki                           |      26.11
  Cache L2                         |           
    num cache accesses             |    2872584
    num cache misses               |    2522499
    miss rate                      |     87.81%
    mpki                           |      25.23
  Cache L3                         |           
    num cache accesses             |    2695565
    num cache misses               |    2497873
    miss rate                      |     92.67%
    mpki                           |      24.98
DRAM summary                       |           
  num dram accesses                |    4979362
  average dram access latency (ns) |      53.15
  average dram queueing delay      |       3.14
Coherency Traffic                  |           
  num loads from dram              |    1986451
  num loads from dram cache        |          0
  num loads from remote cache      |          0
