                                   | Core 0    
  Instructions                     |  249999879
  Cycles                           |  178748664
  IPC                              |       1.40
  Time (ns)                        |   59582888
Branch predictor stats             |           
  num correct                      |    5768210
  num incorrect                    |     102901
  misprediction rate               |      1.75%
  mpki                             |       0.41
TLB Summary                        |           
  I-TLB                            |           
    num accesses                   |   22339856
    num misses                     |          4
    miss rate                      |      0.00%
    mpki                           |       0.00
  D-TLB                            |           
    num accesses                   |   98207446
    num misses                     |      52550
    miss rate                      |      0.05%
    mpki                           |       0.21
  L2 TLB                           |           
    num accesses                   |      52554
    num misses                     |      27303
    miss rate                      |     51.95%
    mpki                           |       0.11
Cache Summary                      |           
  Cache L1-I                       |           
    num cache accesses             |   22339856
    num cache misses               |      32264
    miss rate                      |      0.14%
    mpki                           |       0.13
  Cache L1-D                       |           
    num cache accesses             |   98207446
    num cache misses               |    2549130
    miss rate                      |      2.60%
    mpki                           |      10.20
  Cache L2                         |           
    num cache accesses             |    2581514
    num cache misses               |    1787210
    miss rate                      |     69.23%
    mpki                           |       7.15
  Cache L3                         |           
    num cache accesses             |    1787589
    num cache misses               |    1714959
    miss rate                      |     95.94%
    mpki                           |       6.86
DRAM summary                       |           
  num dram accesses                |    2137829
  average dram access latency (ns) |      51.36
  average dram queueing delay      |       1.36
Coherency Traffic                  |           
  num loads from dram              |          0
  num loads from dram cache        |          0
  num loads from remote cache      |          0
